title,park,date,rating,cc,location.latitude,location.longitude,datayear,day,address,community,geocode_address,datamonth
The Single Moms Club,Armstrong Park,2015-07-19T03:21:00Z,PG-13,Yes,41.81406021,-87.61099243,2015,Sun,"4433 S St Lawrence Ave Chicago, IL 60653",GRAND BOULEVARD,"4433 S St Lawrence Ave Chicago, IL 60653",07
Frozen,Buttercup Playlot Park,2015-07-19T03:12:00Z,PG,Yes,41.97158432,-87.65485382,2015,Sun,"4901 N Sheridan Rd Chicago, IL 60640",UPTOWN,"4901 N Sheridan Rd Chicago, IL 60640",07
Once Upon a Time ... When We Were Colored,Washington Park,2015-07-19T03:30:00Z,PG,No,41.79378891,-87.61591339,2015,Sun,"5531 S. Martin Luther King Dr. Chicago, IL 60637",WASHINGTON PARK,"5531 S. Martin Luther King Dr. Chicago, IL 60637",07
The Sandlot,Sauganash Park,2015-07-18T03:11:00Z,PG,Yes,41.98839951,-87.73739624,2015,Sat,5861 N. Kostner Ave. Chicago IL 60646,FOREST GLEN,5861 N. Kostner Ave. Chicago IL 60646,07
Dumb & Dumber To,Lindblom Park,2015-07-18T03:44:00Z,PG-13,Yes,41.78319931,-87.6741333,2015,Sat,6054 S. Damen Ave. Chicago IL 60636,WEST ENGLEWOOD,6054 S. Damen Ave. Chicago IL 60636,07
The Goonies,Clarendon Park Community Center,2015-07-18T03:24:00Z,PG,Yes,41.96364594,-87.64994812,2015,Sat,4501 N. Clarendon Ave. Chicago IL 60640,UPTOWN,4501 N. Clarendon Ave. Chicago IL 60640,07
Big Hero 6,Independence Park,2015-07-18T03:00:00Z,PG,No,41.95268631,-87.72504425,2015,Sat,3945 N. Springfield Ave. Chicago IL 60618,IRVING PARK,3945 N. Springfield Ave. Chicago IL 60618,07
Space Jam,Kilbourn Park,2015-07-17T02:58:00Z,PG,Yes,41.94442749,-87.73962402,2015,Fri,3501 N. Kilbourn Ave. Chicago IL 60641,IRVING PARK,3501 N. Kilbourn Ave. Chicago IL 60641,07
When the Game Stands Tall,Ogden Park,2015-07-17T03:15:00Z,PG,Yes,41.77593613,-87.65439606,2015,Fri,6500 S. Racine Ave. Chicago IL 60636,WEST ENGLEWOOD,6500 S. Racine Ave. Chicago IL 60636,07
Jumanji,Normandy Playground Park,2015-07-17T03:14:00Z,PG,Yes,41.79777908,-87.78858948,2015,Fri,6660 W. 52nd St. Chicago IL 60638,GARFIELD RIDGE,6660 W. 52nd St. Chicago IL 60638,07
A Latino Film Festival Selection,Piotrowski Park,2015-07-16T03:30:00Z,NR,Yes,41.8367424,-87.730896,2015,Thu,4247 W. 31st St. Chicago IL 60623,SOUTH LAWNDALE,4247 W. 31st St. Chicago IL 60623,07
Teenage Mutant Ninja Turtles (2014),White (Edward H.) Park,2015-07-16T03:11:00Z,PG-13,Yes,41.67224503,-87.6498642,2015,Thu,1120 W. 122nd St. Chicago IL 60643,WEST PULLMAN,1120 W. 122nd St. Chicago IL 60643,07
Despicable Me,Sheridan Park,2015-07-16T02:35:00Z,PG,Yes,41.87052536,-87.65449524,2015,Thu,910 S. Aberdeen St. Chicago IL 60607,NEAR WEST SIDE,910 S. Aberdeen St. Chicago IL 60607,07
The Mighty Macs,Beverly Park,2015-07-15T03:09:00Z,G,Yes,41.70822525,-87.68319702,2015,Wed,"2460 W 102nd St Chicago, IL 60655",BEVERLY,"2460 W 102nd St Chicago, IL 60655",07
